,image,Restaurant name,Address,Reviews,Contact address,Food name,Restaurant_url,Timing,Ratings,Restaurant_ownership,url links
26,https://s3-media0.fl.yelpcdn.com/bphoto/rFQul8X9vvoXIFUz6Y4jOQ/l.jpg,Howl at the Moon Indianapolis,Verified by Business,168 reviews,(317) 955-0300,"Bars, Venues & Event Spaces, Music Venues",https://www.howlatthemoon.com/…,Mon Closed Closed now Tue Closed Wed Closed Thu 8:00 PM - 2:00 AM (Next day) Fri 8:00 PM - 2:00 AM (Next day) Sat 8:00 PM - 2:00 AM (Next day) Sun Closed,3 star rating,Claimed,https://www.yelp.com/adredir?ad_business_id=ElaSvDEnNV0yfKkKzczLbw&campaign_id=ajTjmBC06pT9ydaXOQiuKw&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fhowl-at-the-moon-indianapolis-indianapolis&request_id=953dc77948e06dd5&signature=ca418bac281d08c22a724f136bc0cbf7ff40c84f74ea3c9fc941e1529981cff4&slot=1
28,https://s3-media0.fl.yelpcdn.com/bphoto/5fhohuIIdMbdHZXGtguyXg/l.jpg,The Local Kitchen and Tap,"6089 Clarks Creek Rd Plainfield, IN 46168",5 reviews,(317) 839-1106,"Burgers, Bars, American (New)",https://embassysuites3.hilton.…,Mon 5:00 PM - 10:00 PM Open now Tue 5:00 PM - 10:00 PM Wed 5:00 PM - 10:00 PM Thu 5:00 PM - 10:00 PM Fri 5:00 PM - 10:00 PM Sat 5:00 PM - 10:00 PM Sun 5:00 PM - 9:00 PM,4.5 star rating,Claimed,https://www.yelp.com/biz/the-local-kitchen-and-tap-plainfield?osq=Bars+and+Lounges
30,https://s3-media0.fl.yelpcdn.com/bphoto/o7NMs-Kh34zMl2jOxjsQTw/l.jpg,THAT Sports Bar,"100 Smith St Lebanon, IN 46052",38 reviews,(765) 481-2235,"Sports Bars, American (Traditional), Pizza",https://thatsportsbar.com,Mon 11:00 AM - 12:00 AM (Next day) Open now Tue 11:00 AM - 12:00 AM (Next day) Wed 11:00 AM - 12:00 AM (Next day) Thu 11:00 AM - 12:00 AM (Next day) Fri 11:00 AM - 3:00 AM (Next day) Sat 8:00 AM - 3:00 AM (Next day) Sun 8:00 AM - 12:00 AM (Next day),4 star rating,Claimed,https://www.yelp.com/biz/that-sports-bar-lebanon?osq=Bars+and+Lounges
32,https://s3-media0.fl.yelpcdn.com/bphoto/o7NMs-Kh34zMl2jOxjsQTw/l.jpg,Snapper's Bar and Grill,"1514 N State St Greenfield, IN 46140",2 reviews,(317) 462-2899,"Bars, American (New), American (Traditional)",https://thatsportsbar.com,,5 star rating,Claimed,https://www.yelp.com/biz/snappers-bar-and-grill-greenfield?osq=Bars+and+Lounges
34,https://s3-media0.fl.yelpcdn.com/bphoto/aBXOpSCV7JyZxzh0zrXnNw/l.jpg,Heavy's Sports Cafe,"8411 Windfall Ln Camby, IN 46113",13 reviews,(317) 856-7888,"Pizza, Sandwiches, Sports Bars",https://thatsportsbar.com,,4.5 star rating,Unclaimed,https://www.yelp.com/biz/heavys-sports-cafe-camby?osq=Bars+and+Lounges
36,https://s3-media0.fl.yelpcdn.com/bphoto/ofB8T-u0asYsAUd4rJruIw/l.jpg,Brickers Pub,"50 E Northfield Dr Brownsburg, IN 46112",43 reviews,(317) 858-2745,"Pubs, American (Traditional), Sandwiches",http://www.brickerspub.com,Mon 11:00 AM - 2:00 AM (Next day) Open now Tue 11:00 AM - 1:30 AM (Next day) Wed 11:00 AM - 2:00 AM (Next day) Thu 11:00 AM - 2:00 AM (Next day) Fri 11:00 AM - 2:00 AM (Next day) Sat 11:00 AM - 2:00 AM (Next day) Sun 12:00 AM - 2:00 AM 12:00 PM - 12:00 AM (Next day),4 star rating,Claimed,https://www.yelp.com/biz/brickers-pub-brownsburg?osq=Bars+and+Lounges
38,https://s3-media0.fl.yelpcdn.com/bphoto/o3dq0NjFrpph3zaBUtorNw/l.jpg,The Windmill Tavern,"102 N Independence St Windfall, IN 46076",4 reviews,(765) 945-4012,Pubs,http://www.brickerspub.com,Mon 11:00 AM - 12:00 AM (Next day) Open now Tue 11:00 AM - 12:00 AM (Next day) Wed 11:00 AM - 12:00 AM (Next day) Thu 11:00 AM - 12:00 AM (Next day) Fri 11:00 AM - 3:00 AM (Next day) Sat 11:00 AM - 3:00 AM (Next day) Sun 6:00 AM - 12:00 AM (Next day),5 star rating,Unclaimed,https://www.yelp.com/biz/the-windmill-tavern-windfall?osq=Bars+and+Lounges
39,https://s3-media0.fl.yelpcdn.com/bphoto/Do4l-XWykEIc2FhNwMxMbg/l.jpg,The Grill Bar,"153 E Jefferson St Franklin, IN 46131",29 reviews,(317) 738-9936,"Pubs, Salad, Sandwiches",http://www.brickerspub.com,Mon 11:00 AM - 3:00 AM (Next day) Open now Tue 11:00 AM - 3:00 AM (Next day) Wed 11:00 AM - 3:00 AM (Next day) Thu 11:00 AM - 3:00 AM (Next day) Fri 11:00 AM - 3:00 AM (Next day) Sat 11:00 AM - 3:00 AM (Next day) Sun Closed,4 star rating,Unclaimed,https://www.yelp.com/biz/the-grill-bar-franklin-2?osq=Bars+and+Lounges
41,https://s3-media0.fl.yelpcdn.com/bphoto/g6PtlEx0MkaLKI6pRwKdTQ/l.jpg,Chili's,"620 Birk Rd Martinsville, IN 46151",23 reviews,(765) 349-8227,"Tex-Mex, American (Traditional), Bars",http://www.chilis.com/,Mon 11:00 AM - 10:00 PM Open now Tue 11:00 AM - 10:00 PM Wed 11:00 AM - 10:00 PM Thu 11:00 AM - 10:00 PM Fri 11:00 AM - 11:00 PM Sat 11:00 AM - 11:00 PM Sun 11:00 AM - 10:00 PM,2 star rating,Claimed,https://www.yelp.com/biz/chilis-martinsville?osq=Bars+and+Lounges
43,https://s3-media0.fl.yelpcdn.com/bphoto/B_4-PWUlHiM16CV8SZr22Q/l.jpg,The Broken Barrel - Carmel,"1156 Keystone Way South Carmel, IN 46032",43 reviews,(317) 844-9070,"Whiskey Bars, Cocktail Bars, Lounges",http://www.thebrokenbarrel.com,Mon Closed Closed now Tue 4:00 PM - 10:00 PM Wed 4:00 PM - 10:00 PM Thu 4:00 PM - 10:00 PM Fri 4:00 PM - 11:00 PM Sat 4:00 PM - 11:00 PM Sun Closed,4.5 star rating,Claimed,https://www.yelp.com/biz/the-broken-barrel-carmel-carmel-3?osq=Bars+and+Lounges
46,https://s3-media0.fl.yelpcdn.com/bphoto/6ezsnq1pqgDmncSTY6yc4A/l.jpg,The Exchange Whiskey Bar,"301 Massachusetts Ave Indianapolis, IN 46204",103 reviews,(317) 943-5000,"Cocktail Bars, Whiskey Bars",https://www.exchangewhiskeybar…,Mon 4:00 PM - 12:00 AM (Next day) Open now Tue 4:00 PM - 12:00 AM (Next day) Wed 4:00 PM - 12:00 AM (Next day) Thu 4:00 PM - 12:00 AM (Next day) Fri 4:00 PM - 2:00 AM (Next day) Sat 4:00 PM - 2:00 AM (Next day) Sun Closed,4.5 star rating,Claimed,https://www.yelp.com/biz/the-exchange-whiskey-bar-indianapolis?osq=Bars+and+Lounges
48,https://s3-media0.fl.yelpcdn.com/bphoto/JZsvfIkNuqRPvUR4x1NNFQ/l.jpg,Applebee's Grill + Bar,"3720 South Reed Rd Kokomo, IN 46902",16 reviews,(765) 455-2090,"Sports Bars, Burgers, American (Traditional)",https://www.applebees.com,Mon 11:00 AM - 12:00 AM (Next day) Open now Tue 11:00 AM - 12:00 AM (Next day) Wed 11:00 AM - 12:00 AM (Next day) Thu 11:00 AM - 12:00 AM (Next day) Fri 11:00 AM - 12:00 AM (Next day) Sat 11:00 AM - 12:00 AM (Next day) Sun 11:00 AM - 12:00 AM (Next day),2.5 star rating,Claimed,https://www.yelp.com/adredir?ad_business_id=mrcLlm1wsmHEWZXwBoHTLA&campaign_id=UyDpHJ3d7K7MhwWMNjpa5g&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fapplebees-grill-bar-kokomo&request_id=953dc77948e06dd5&signature=635a3a768d90ce195d22bff137f974da737c66b4f625caf77b5805ec0ac3267f&slot=0
